id,imdb_id,name_eng,rating,rating_date,release_year,link
482,,Thor: Love and Thunder,7,2022-07-15,2022,https://www.kinopoisk.ru/film/1282688/
483,,Harry Potter 20th Anniversary: Return to Hogwarts,3,2022-07-15,2022,https://www.kinopoisk.ru/film/4716622/
484,,Dune: Part One,9,2022-07-15,2021,https://www.kinopoisk.ru/film/409424/
485,,Spider-Man: Far from Home,6,2022-07-15,2019,https://www.kinopoisk.ru/film/1008445/
486,,Harry Potter and the Deathly Hallows: Part 1,6,2022-07-15,2010,https://www.kinopoisk.ru/film/276762/
487,,Harry Potter and the Deathly Hallows: Part 2,6,2022-07-15,2011,https://www.kinopoisk.ru/film/407636/
488,,The Lobster,7,2022-07-15,2015,https://www.kinopoisk.ru/film/819846/
489,,Due Date,6,2022-07-15,2010,https://www.kinopoisk.ru/film/464282/
490,,This Means War,6,2022-07-30,2012,https://www.kinopoisk.ru/film/497233/
491,,Nope,7,2022-08-18,2022,https://www.kinopoisk.ru/film/1447137/
492,,Notting Hill,7,2022-09-12,1999,https://www.kinopoisk.ru/film/6146/
493,,Uncharted,5,2022-09-16,2022,https://www.kinopoisk.ru/film/468373/
494,,The Proposal,6,2022-09-16,2009,https://www.kinopoisk.ru/film/321842/
495,,While You Were Sleeping,7,2022-09-25,1995,https://www.kinopoisk.ru/film/6133/
496,,Everything Everywhere All at Once,8,2022-09-29,2021,https://www.kinopoisk.ru/film/1322324/
497,,Honor Society,6,2022-10-24,2022,https://www.kinopoisk.ru/film/4824231/
498,,Black Adam,6,2022-10-30,2022,https://www.kinopoisk.ru/film/1009017/
499,,Bullet Train,4,2023-01-31,2022,https://www.kinopoisk.ru/film/1392550/
500,tt20356188,One Day in Ukraine,7,2022-11-16,2022,https://www.imdb.com/title/tt20356188/
501,tt7322224,Triangle of Sadness,7,2022-11-29,2022,https://www.imdb.com/title/tt7322224/
502,tt12593682,Bullet Train,4,2022-12-26,2022,https://www.imdb.com/title/tt12593682/
503,tt1630029,Avatar: The Way of Water,7,2023-01-28,2022,https://www.imdb.com/title/tt1630029/
504,tt11564570,Glass Onion,6,2023-01-31,2022,https://www.imdb.com/title/tt11564570/
505,tt13443470,Wednesday,8,2023-01-31,2022,https://www.imdb.com/title/tt13443470/
506,tt4995790,The Square,7,2023-01-31,2017,https://www.imdb.com/title/tt4995790/
507,tt6710474,Everything Everywhere All at Once,7,2023-01-31,2022,https://www.imdb.com/title/tt6710474/
508,tt1190634,The Boys,7,2023-02-15,2019,https://www.imdb.com/title/tt1190634/
509,tt13320622,The Lost City,6,2023-02-15,2022,https://www.imdb.com/title/tt13320622/
510,tt9114286,Black Panther: Wakanda Forever,3,2023-02-15,2022,https://www.imdb.com/title/tt9114286/
511,tt9686790,Shotgun Wedding,5,2023-02-15,2022,https://www.imdb.com/title/tt9686790/
512,tt2381249,Mission: Impossible - Rogue Nation,7,2023-02-19,2015,https://www.imdb.com/title/tt2381249/
513,tt26443107,The Adults,8,2023-02-19,2023,https://www.imdb.com/title/tt26443107/
514,tt12427090,Iron Butterflies,8,2023-02-21,2023,https://www.imdb.com/title/tt12427090/
515,tt14813150,Manodrome,5,2023-02-21,2023,https://www.imdb.com/title/tt14813150/
516,tt21817836,Hello Dankness,8,2023-02-23,2022,https://www.imdb.com/title/tt21817836/
531,tt0075314,Taxi Driver,7,2023-03-08,1976,https://www.imdb.com/title/tt0075314/
532,tt10857164,Ms. Marvel,6,2023-03-31,2022,https://www.imdb.com/title/tt10857164/
533,tt10954600,Ant-Man and the Wasp: Quantumania,4,2023-02-27,2023,https://www.imdb.com/title/tt10954600/
534,tt13560574,X,7,2023-04-03,2022,https://www.imdb.com/title/tt13560574/
535,tt14444726,Tár,7,2023-03-20,2022,https://www.imdb.com/title/tt14444726/
536,tt18925334,Pearl,7,2023-03-20,2022,https://www.imdb.com/title/tt18925334/
537,tt2442560,Peaky Blinders,7,2023-03-22,2013,https://www.imdb.com/title/tt2442560/
538,tt4912910,Mission: Impossible - Fallout,7,2023-02-26,2018,https://www.imdb.com/title/tt4912910/
